seed,gates_crossed,contact_seen,raw_contact_seen,nail_progress_m,corridor_max_m,qvel_peak_rad_s,finite,reset_arm_qpos_rad,substeps,qualifies,failures
1000,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1001,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1002,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1003,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1004,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1005,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1006,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1007,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1008,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1009,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1010,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1011,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1012,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1013,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1014,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
1015,6,true,true,0.03200000151991844,0.0013000593753531575,2.530755043029785,true,"[0.0, 1.6059999465942383, -0.4300999939441681, -1.19760000705719, -0.0013000000035390258, 1.5543999671936035]",80,true,[]
