seed,gates_crossed,contact_seen,raw_contact_seen,nail_progress_m,corridor_max_m,qvel_peak_rad_s,finite,reset_arm_qpos_rad,substeps,qualifies,failures
1000,6,true,true,0.03200000151991844,0.0075228516943752766,2.5576469898223877,true,"[-0.01810653880238533, 1.6173560619354248, -0.4359223246574402, -1.2217962741851807, -0.024058513343334198, 1.5670119524002075]",130,false,"[""corridor above 0.005 m""]"
1001,6,true,true,0.03200000151991844,0.009283129125833511,2.6236989498138428,true,"[-0.010456196963787079, 1.5719355344772339, -0.3944726586341858, -1.2312897443771362, -0.032162345945835114, 1.5331122875213623]",130,false,"[""corridor above 0.005 m""]"
1002,6,true,true,0.03200000151991844,0.01389816403388977,2.540367603302002,true,"[-0.04789977893233299, 1.6517912149429321, -0.4745015799999237, -1.1946662664413452, 0.002240754198282957, 1.541430950164795]",130,false,"[""corridor above 0.005 m""]"
1003,6,true,true,0.03200000151991844,0.01449196320027113,2.590003490447998,true,"[-0.0461713969707489, 1.5804831981658936, -0.4201951026916504, -1.1477547883987427, -0.019428133964538574, 1.542907476425171]",120,false,"[""corridor above 0.005 m""]"
1004,6,true,true,0.03200000151991844,0.004981724079698324,2.6047253608703613,true,"[0.047161880880594254, 1.5949312448501587, -0.4538058638572693, -1.1568937301635742, -0.04089207947254181, 1.5080006122589111]",130,true,[]
1005,6,true,true,0.03200000151991844,0.0062134345062077045,2.5854625701904297,true,"[0.02588941529393196, 1.5956562757492065, -0.4675861597061157, -1.2301098108291626, -0.0070350696332752705, 1.5691726207733154]",140,false,"[""corridor above 0.005 m""]"
1006,6,true,true,0.03200000151991844,0.009188119322061539,2.637190341949463,true,"[-0.025939393788576126, 1.578187108039856, -0.3836371600627899, -1.228955864906311, -0.002433926332741976, 1.5301260948181152]",130,false,"[""corridor above 0.005 m""]"
1007,6,true,true,0.03200000151991844,0.0025359177961945534,2.6348466873168945,true,"[-0.014802586287260056, 1.5590121746063232, -0.47123467922210693, -1.1536035537719727, 0.005087643396109343, 1.5620192289352417]",140,true,[]
1008,6,true,true,0.03200000151991844,0.011792916804552078,2.5972909927368164,true,"[-0.03153519704937935, 1.5663704872131348, -0.47876855731010437, -1.1809027194976807, -0.025600653141736984, 1.5399607419967651]",140,false,"[""corridor above 0.005 m""]"
1009,6,true,true,0.03200000151991844,0.009685102850198746,2.5854108333587646,true,"[-0.009064774960279465, 1.6034979820251465, -0.4669896066188812, -1.2100871801376343, -0.04592296481132507, 1.5194355249404907]",140,false,"[""corridor above 0.005 m""]"
1010,6,true,true,0.03200000151991844,0.010855580680072308,2.6093366146087646,true,"[0.04296591505408287, 1.6434125900268555, -0.3849327862262726, -1.1856919527053833, 0.009970076382160187, 1.5061452388763428]",110,false,"[""corridor above 0.005 m""]"
1011,6,true,true,0.03200000151991844,0.008661756291985512,2.676102876663208,true,"[0.03543021157383919, 1.5582983493804932, -0.40514087677001953, -1.16681969165802, -0.012589138001203537, 1.5252000093460083]",130,false,"[""corridor above 0.005 m""]"
1012,6,true,true,0.03200000151991844,0.011099596507847309,2.650125741958618,true,"[0.03427158668637276, 1.598772644996643, -0.38451406359672546, -1.1792525053024292, 0.009237635880708694, 1.5938481092453003]",120,false,"[""corridor above 0.005 m""]"
1013,6,true,true,0.03200000151991844,0.005863669794052839,2.5206055641174316,true,"[0.010187961161136627, 1.6383912563323975, -0.467725932598114, -1.1517081260681152, 0.0067754159681499004, 1.5249186754226685]",120,false,"[""corridor above 0.005 m""]"
1014,6,true,true,0.03200000151991844,0.001899957424029708,2.6011486053466797,true,"[-0.015934627503156662, 1.624171257019043, -0.40346571803092957, -1.1902894973754883, 0.017891105264425278, 1.5749813318252563]",120,true,[]
1015,6,true,true,0.03200000151991844,0.001538543147034943,2.523200750350952,true,"[0.01429365947842598, 1.6266095638275146, -0.41206106543540955, -1.2244609594345093, -0.03898800536990166, 1.5589293241500854]",120,true,[]
