arm,training_seed,checkpoint_sha256,traj_has_contact,traj_contact_substeps,traj_contact_dwell_ms,traj_success,traj_terminal_reason,traj_control_steps,traj_nail_depth_physical_mm,traj_nail_depth_raw_mm,traj_gates_completed,traj_first_contact_s,precontact_segment_perp_max_mm,precontact_segment_perp_rms_mm,full_rollout_segment_perp_max_mm,full_rollout_segment_perp_rms_mm,precontact_window_substeps,traj_path_len_ratio,traj_backward_travel_mm,traj_lateral_excursion_mm,traj_peak_qvel_rad_s,traj_qvel_legal,traj_treatment_payout,imp_v_precontact_m_s,imp_delivered_n_s,imp_axial_force_peak_n,imp_lambda_max_j1,imp_lambda_max_j2,imp_lambda_max_j3,imp_lambda_max_j4,imp_lambda_max_j5,imp_lambda_max_j6,imp_max_cap_ratio,imp_max_cap_joint,imp_contact_substeps,imp_npz_sha256
C0,2,efa603175b30c230,False,0,0.0,False,step_limit,80,0.0,0.0,0,,381.4,270.41,381.4,270.41,800,,841.14,284.58,5.2556,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2d22c52b7f3a49fd
C0,3,3a63289b551b7946,True,6,12.0,True,terminated,8,32.0,37.177,0,0.128,52.5,31.16,52.5,29.92,65,1.4204,0.57,23.69,4.9811,False,0.0,1.8347,0.346613,32.833,0.159252,0.171974,0.033485,0.057571,0.107996,0.008568,0.097105,1,6,064fc8accf7a4722
G,2,93367734fce2f439,True,8,16.0,True,terminated,7,32.0,40.536,0,0.116,54.0,32.59,54.0,30.8,59,1.4115,-0.0,46.69,5.0016,False,0.0,1.7089,0.364718,33.032,0.168713,0.176442,0.033124,0.044871,0.094584,0.01188,0.102874,1,8,e638c6cfdc47778f
G,3,e2612d61320f5609,True,8,16.0,True,terminated,7,32.0,41.306,6,0.112,10.88,6.0,31.03,9.61,57,1.0392,-0.0,3.52,4.959,False,0.16,1.5659,0.345315,26.605,0.071243,0.167529,0.021865,0.027839,0.04026,0.009305,0.051076,2,8,17b48c7e43cb5d6b
P,2,305a9476ecfef2bc,True,6,12.0,True,terminated,7,32.0,33.238,6,0.12,11.88,7.92,18.65,8.54,61,1.0971,-0.0,1.79,4.9661,False,0.16,1.3247,0.308886,32.442,0.15451,0.151883,0.017449,0.065825,0.109289,0.006503,0.094214,1,6,674ba3a7926609ad
P,3,88b842d5ad7e8cc6,True,8,16.0,True,terminated,7,32.0,40.962,6,0.112,11.5,5.48,30.88,9.46,57,1.0347,-0.0,5.28,4.9749,False,0.16,1.5683,0.341845,26.934,0.054244,0.165489,0.022113,0.025695,0.034393,0.010502,0.050454,2,8,d05467eef9fbd2c2
